Finch Zoltán , Miskolc , Kossuth u.61
Gilpin Zoltán , Miskolc , Kossuth u.5
Ruehling Tibor , Miskolc , Tavasz u.86
Jones Károly , Miskolc , Tavasz u.68
Alti György , Miskolc , Tavasz u.45
VanMeter Ferenc , Miskolc , Tihamér u.96
Keith Lajos , Miskolc , Ősz u.112
Lithgow Dániel , Miskolc , Ősz u.11
Lewellan Tamás , Miskolc , Kossuth u.110
Lockwood Tibor , Miskolc , Nyár u.20
vonBarm Géza , Miskolc , Ősz u.117
Marshall Tamás , Miskolc , Kossuth u.111
Mike Tibor , Miskolc , Tihamér u.6
Houzer Zoltán , Miskolc , Nyár u.62
Wagner Károly , Miskolc , Nyár u.16
Gulyás Gábor , Miskolc , Nyár u.46
Körner Zoltán , Miskolc , Tavasz u.48
Duncan József , Miskolc , Ősz u.42
Bunkó Dániel , Miskolc , Tavasz u.116
